0: 역곡상상시장 | Type: 상설장 | Addr: 경기도 부천시 원미구 부일로749번길 31 | Lat/Lon: 37.48757743,126.8118954 | Cycle: 매일
1: 청구문화시장 | Type: 상설장 | Addr: 경기도 성남시 분당구 내정로165번길 38 | Lat/Lon: 37.37665581,127.1162348 | Cycle: 매일
2: 남양시장 | Type: 상설장 | Addr: 경기도 화성시 남양읍 남양시장로 61 | Lat/Lon: 37.20902222,126.8159971 | Cycle: 1일+6일
3: 양동쌍학시장 | Type: 상설장+4일장 | Addr: 경기도 양평군 양동면 학둔지아래길 76 | Lat/Lon: 37.42017548,127.7531956 | Cycle: 4일+9일
4: 금촌전통시장 | Type: 상설장 | Addr: 경기도 파주시 금정 24길 18-6 | Lat/Lon: 37.76261761,126.7738861 | Cycle: 1일+6일
5: 조암시장 | Type: 상설장+4일장 | Addr: 경기도 화성시 우정읍 조암남로 28 | Lat/Lon: 37.08354443,126.818488 | Cycle: 4일+9일
6: 발안만세시장 | Type: 상설장+5일장 | Addr: 경기도 화성시 향남읍 평2길 7 | Lat/Lon: 37.13145931,126.9094512 | Cycle: 5일+10일
7: 한라프라자 | Type: 상설장 | Addr: 경상남도 거제시 거제중앙로 1906 | Lat/Lon: 34.88820169,128.6235595 | Cycle: 매일
8: 옥수동새시장 | Type: 상설장 | Addr: 경상남도 거제시 능포로134-2 | Lat/Lon: 34.87539656,128.7319145 | Cycle: 매일
9: 옥수시장 | Type: 상설장 | Addr: 경상남도 거제시 옥수로2길 10 | Lat/Lon: 34.87534685,128.7308743 | Cycle: 매일
10: 옥포국제시장 | Type: 상설장 | Addr: 경상남도 거제시 옥포로19길 12-1 | Lat/Lon: 34.89435922,128.6895425 | Cycle: 매일
11: 옥현상가 | Type: 상설장 | Addr: 경상남도 거제시 옥포로 250 | Lat/Lon: 34.89692237,128.6899341 | Cycle: 매일
12: 신부시장 | Type: 상설장 | Addr: 경상남도 거제시 장승포로 49 | Lat/Lon: 34.8677231,128.7295445 | Cycle: 매일
13: 거제고현시장 | Type: 상설장 | Addr: 경상남도 거제시 거제중앙로17길 6 | Lat/Lon: 34.88542879,128.624008 | Cycle: 매일
14: 장평종합시장 | Type: 상설장 | Addr: 경상남도 거제시 장평로37 | Lat/Lon: 34.89086439,128.6131111 | Cycle: 매일
15: 거제읍내시장 | Type: 상설장+3일장 | Addr: 경상남도 거제시 거제면 읍내로2길 28 | Lat/Lon: 34.85055855,128.5903037 | Cycle: 3일+8일
16: 거창시장 | Type: 상설장 | Addr: 경상남도 거창군 거창읍 중앙로 140 | Lat/Lon: 35.68700298,127.9138722 | Cycle: 1일+6일
