7: 한라프라자 | Type: 상설장 | Addr: 경상남도 거제시 거제중앙로 1906 | Lat/Lon: 34.88820169,128.6235595 | Cycle: 매일
11: 옥현상가 | Type: 상설장 | Addr: 경상남도 거제시 옥포로 250 | Lat/Lon: 34.89692237,128.6899341 | Cycle: 매일
21: 김해전통시장(김해동상시장) | Type: 상설장 | Addr: 경상남도 김해시 호계로 517번길 5-13 | Lat/Lon: 35.23624089,128.883862 | Cycle: 매일
33: 무안시장(무안임시시장) | Type: 상설장 | Addr: 경상남도 밀양시 무안면 사명로 510 | Lat/Lon: 35.47019254,128.6520424 | Cycle: 1일+6일
65: 중동사랑시장(부천중동시장) | Type: 상설장 | Addr: 경기도 부천시 원미구 부흥로200번길 25 | Lat/Lon: 37.49497098,126.764586 | Cycle: 매일
71: 속초관광수산시장(구 속초중앙전통시장) | Type: 상설장 | Addr: 강원특별자치도 속초시 중앙시장로 6길 4 | Lat/Lon: 38.20540516,128.5893558 | Cycle: 매일
87: 해도5(형산)시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 문예로 70번길23 | Lat/Lon: 36.01270248,129.3664934 | Cycle: 매일
90: 중앙상가 | Type: 상설장 | Addr: 경상북도 포항시 북구 중앙상가길64 | Lat/Lon: 36.04016574,129.3661568 | Cycle: 매일
125: 전주중앙상가 | Type: 상설장 | Addr: 전북특별차치도 전주시 완산구 태평3길 70 | Lat/Lon: 35.82522103,127.1424489 | Cycle: 매일
142: 십정종합시장(열우물전통시장) | Type: 상설장 | Addr: 인천광역시 부평구 배곶남로 21번길 18 | Lat/Lon: 37.47340163,126.6955036 | Cycle: 매일
160: (유)문경시중앙시장 | Type: 상설장 | Addr: 경상북도 문경시 중앙로 87 | Lat/Lon: 36.59353126,128.1973386 | Cycle: 매일
161: 점촌전통시장 (구 신흥시장) | Type: 상설장+3일장 | Addr: 경상북도 문경시 신흥시장길 19 | Lat/Lon: 36.60138925,128.2041632 | Cycle: 3일+8일
194: 현대유통쇼핑센타 | Type: 상설장 | Addr: 경상북도 구미시 구미중앙로 61-6 | Lat/Lon: 36.13004562,128.3300464 | Cycle: 매일
195: 구미종합상가 | Type: 상설장 | Addr: 경상북도 구미시 구미중앙로9길 14-6 | Lat/Lon: 36.13051882,128.3304432 | Cycle: 매일
202: 화개장터 | Type: 상설장 | Addr: 경상남도 하동군 화개면 쌍계로 21 | Lat/Lon: 35.18862637,127.6242177 | Cycle: 매일
203: 횡천공설시장(횡천시장) | Type: 상설장+5일장 | Addr: 경상남도 하동군 횡천면 문화2길 24 | Lat/Lon: 35.10921398,127.8107034 | Cycle: 5일+10일
204: 가야상설시장(가야시장) | Type: 상설장+5일장 | Addr: 경상남도 함안군 가야읍 가야8길8 | Lat/Lon: 35.27725861,128.4064722 | Cycle: 5일+10일
235: 창원기계공구상가 | Type: 상설장 | Addr: 경상남도 창원시 의창구 창원대로 400 | Lat/Lon: 35.23376619,128.6410715 | Cycle: 매일
238: 합성동상가 | Type: 상설장 | Addr: 경상남도 창원시 마산회원구 합성옛길 136 | Lat/Lon: 35.23772413,128.5834595 | Cycle: 매일
241: 코오롱타운상가 | Type: 상설장 | Addr: 경상남도 창원시 마산회원구 내서읍 호원로 361-2 | Lat/Lon: 35.26570272,128.5256104 | Cycle: 매일
242: 합성대로상가 | Type: 상설장 | Addr: 경상남도 창원시 마산회원구 3·15대로 745 | Lat/Lon: 35.2386927,128.5824458 | Cycle: 매일
246: 계천공설시장(계천시장) | Type: 5일장 | Addr: 경상남도 하동군 금남면 섬진강대로 977-17 | Lat/Lon: 34.9959861,127.8094975 | Cycle: 5일+10일
251: 가음대상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 원이대로 883번지 15-24 | Lat/Lon: , | Cycle: 매일
253: 경창상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 상남로 67 | Lat/Lon: 35.22016471,128.6793234 | Cycle: 매일
